"days,user_id,age,gender,location,timeslot,gameid,gener"
"1,1,25,1,16,1,7,2"
"1,1,25,1,16,2,3,1"
"1,1,25,1,16,3,13,4"
"1,1,25,1,16,4,9,3"
"1,1,25,1,16,5,15,5"
"1,1,25,1,16,6,5,2"
"1,1,25,1,16,7,12,4"
"1,1,25,1,16,8,5,2"
"1,1,25,1,16,9,20,6"
"2,1,25,1,16,1,6,2"
"2,1,25,1,16,2,9,3"
"2,1,25,1,16,3,3,1"
"2,1,25,1,16,4,4,1"
"2,1,25,1,16,5,12,4"
"2,1,25,1,16,6,4,1"
"2,1,25,1,16,7,16,5"
"2,1,25,1,16,8,10,3"
"2,1,25,1,16,9,13,4"
"3,1,25,1,16,1,18,6"
"3,1,25,1,16,2,12,4"
"3,1,25,1,16,3,5,2"
"3,1,25,1,16,4,11,3"
"3,1,25,1,16,5,9,3"
"3,1,25,1,16,6,10,3"
"3,1,25,1,16,7,7,2"
"3,1,25,1,16,8,2,1"
"3,1,25,1,16,9,4,1"
"4,1,25,1,16,1,17,5"
"4,1,25,1,16,2,16,5"
"4,1,25,1,16,3,10,3"
"4,1,25,1,16,4,11,3"
"4,1,25,1,16,5,4,1"
"4,1,25,1,16,6,10,3"
"4,1,25,1,16,7,2,1"
"4,1,25,1,16,8,3,1"
"4,1,25,1,16,9,12,4"
"5,1,25,1,16,1,15,5"
"5,1,25,1,16,2,6,2"
"5,1,25,1,16,3,5,2"
"5,1,25,1,16,4,3,1"
"5,1,25,1,16,5,17,5"
"5,1,25,1,16,6,3,1"
"5,1,25,1,16,7,13,4"
"5,1,25,1,16,8,3,1"
"5,1,25,1,16,9,13,4"
"6,1,25,1,16,1,16,5"
"6,1,25,1,16,2,18,6"
"6,1,25,1,16,3,11,3"
"6,1,25,1,16,4,3,1"
"6,1,25,1,16,5,17,5"
"6,1,25,1,16,6,2,1"
"6,1,25,1,16,7,4,1"
"6,1,25,1,16,8,4,1"
"6,1,25,1,16,9,1,1"
"7,1,25,1,16,1,17,5"
"7,1,25,1,16,2,17,5"
"7,1,25,1,16,3,14,4"
"7,1,25,1,16,4,14,4"
"7,1,25,1,16,5,8,2"
"7,1,25,1,16,6,20,6"
"7,1,25,1,16,7,20,6"
"7,1,25,1,16,8,7,2"
"7,1,25,1,16,9,18,6"
"8,1,25,1,16,1,13,4"
"8,1,25,1,16,2,13,4"
"8,1,25,1,16,3,19,6"
"8,1,25,1,16,4,15,5"
"8,1,25,1,16,5,2,1"
"8,1,25,1,16,6,14,4"
"8,1,25,1,16,7,5,2"
"8,1,25,1,16,8,14,4"
"8,1,25,1,16,9,17,5"
"9,1,25,1,16,1,2,1"
"9,1,25,1,16,2,15,5"
"9,1,25,1,16,3,9,3"
"9,1,25,1,16,4,18,6"
"9,1,25,1,16,5,2,1"
"9,1,25,1,16,6,3,1"
"9,1,25,1,16,7,14,4"
"9,1,25,1,16,8,2,1"
"9,1,25,1,16,9,2,1"
"10,1,25,1,16,1,20,6"
"10,1,25,1,16,2,15,5"
"10,1,25,1,16,3,18,6"
"10,1,25,1,16,4,12,4"
"10,1,25,1,16,5,14,4"
"10,1,25,1,16,6,5,2"
"10,1,25,1,16,7,15,5"
"10,1,25,1,16,8,20,6"
"10,1,25,1,16,9,2,1"
"1,2,26,3,3,1,14,4"
"1,2,26,3,3,2,11,3"
"1,2,26,3,3,3,11,3"
"1,2,26,3,3,4,10,3"
"1,2,26,3,3,5,20,6"
"1,2,26,3,3,6,15,5"
"1,2,26,3,3,7,18,6"
"1,2,26,3,3,8,15,5"
"1,2,26,3,3,9,1,1"
"2,2,26,3,3,1,9,3"
"2,2,26,3,3,2,1,1"
"2,2,26,3,3,3,4,1"
"2,2,26,3,3,4,18,6"
"2,2,26,3,3,5,17,5"
"2,2,26,3,3,6,1,1"
"2,2,26,3,3,7,1,1"
"2,2,26,3,3,8,12,4"
"2,2,26,3,3,9,18,6"
"3,2,26,3,3,1,15,5"
"3,2,26,3,3,2,8,2"
"3,2,26,3,3,3,1,1"
"3,2,26,3,3,4,3,1"
"3,2,26,3,3,5,3,1"
"3,2,26,3,3,6,19,6"
"3,2,26,3,3,7,19,6"
"3,2,26,3,3,8,6,2"
"3,2,26,3,3,9,19,6"
"4,2,26,3,3,1,20,6"
"4,2,26,3,3,2,16,5"
"4,2,26,3,3,3,12,4"
"4,2,26,3,3,4,19,6"
"4,2,26,3,3,5,17,5"
