,days,user_id,age,gender,location,timeslot,gameid,gener
0,1,1,25,1,16,1,7,2
1,1,1,25,1,16,2,3,1
2,1,1,25,1,16,3,13,4
3,1,1,25,1,16,4,9,3
4,1,1,25,1,16,5,15,5
5,1,1,25,1,16,6,5,2
6,1,1,25,1,16,7,12,4
7,1,1,25,1,16,8,5,2
8,1,1,25,1,16,9,20,6
9,2,1,25,1,16,1,6,2
10,2,1,25,1,16,2,9,3
11,2,1,25,1,16,3,3,1
12,2,1,25,1,16,4,4,1
13,2,1,25,1,16,5,12,4
14,2,1,25,1,16,6,4,1
15,2,1,25,1,16,7,16,5
16,2,1,25,1,16,8,10,3
17,2,1,25,1,16,9,13,4
18,3,1,25,1,16,1,18,6
19,3,1,25,1,16,2,12,4
20,3,1,25,1,16,3,5,2
21,3,1,25,1,16,4,11,3
22,3,1,25,1,16,5,9,3
23,3,1,25,1,16,6,10,3
24,3,1,25,1,16,7,7,2
25,3,1,25,1,16,8,2,1
26,3,1,25,1,16,9,4,1
27,4,1,25,1,16,1,17,5
28,4,1,25,1,16,2,16,5
29,4,1,25,1,16,3,10,3
30,4,1,25,1,16,4,11,3
31,4,1,25,1,16,5,4,1
32,4,1,25,1,16,6,10,3
33,4,1,25,1,16,7,2,1
34,4,1,25,1,16,8,3,1
35,4,1,25,1,16,9,12,4
36,5,1,25,1,16,1,15,5
37,5,1,25,1,16,2,6,2
38,5,1,25,1,16,3,5,2
39,5,1,25,1,16,4,3,1
40,5,1,25,1,16,5,17,5
41,5,1,25,1,16,6,3,1
42,5,1,25,1,16,7,13,4
43,5,1,25,1,16,8,3,1
44,5,1,25,1,16,9,13,4
45,6,1,25,1,16,1,16,5
46,6,1,25,1,16,2,18,6
47,6,1,25,1,16,3,11,3
48,6,1,25,1,16,4,3,1
49,6,1,25,1,16,5,17,5
50,6,1,25,1,16,6,2,1
51,6,1,25,1,16,7,4,1
52,6,1,25,1,16,8,4,1
53,6,1,25,1,16,9,1,1
54,7,1,25,1,16,1,17,5
55,7,1,25,1,16,2,17,5
56,7,1,25,1,16,3,14,4
57,7,1,25,1,16,4,14,4
58,7,1,25,1,16,5,8,2
59,7,1,25,1,16,6,20,6
60,7,1,25,1,16,7,20,6
61,7,1,25,1,16,8,7,2
62,7,1,25,1,16,9,18,6
63,8,1,25,1,16,1,13,4
64,8,1,25,1,16,2,13,4
65,8,1,25,1,16,3,19,6
66,8,1,25,1,16,4,15,5
67,8,1,25,1,16,5,2,1
68,8,1,25,1,16,6,14,4
69,8,1,25,1,16,7,5,2
70,8,1,25,1,16,8,14,4
71,8,1,25,1,16,9,17,5
72,9,1,25,1,16,1,2,1
73,9,1,25,1,16,2,15,5
74,9,1,25,1,16,3,9,3
75,9,1,25,1,16,4,18,6
76,9,1,25,1,16,5,2,1
77,9,1,25,1,16,6,3,1
78,9,1,25,1,16,7,14,4
79,9,1,25,1,16,8,2,1
80,9,1,25,1,16,9,2,1
81,10,1,25,1,16,1,20,6
82,10,1,25,1,16,2,15,5
83,10,1,25,1,16,3,18,6
84,10,1,25,1,16,4,12,4
85,10,1,25,1,16,5,14,4
86,10,1,25,1,16,6,5,2
87,10,1,25,1,16,7,15,5
88,10,1,25,1,16,8,20,6
89,10,1,25,1,16,9,2,1
90,1,2,26,3,3,1,14,4
91,1,2,26,3,3,2,11,3
92,1,2,26,3,3,3,11,3
93,1,2,26,3,3,4,10,3
94,1,2,26,3,3,5,20,6
95,1,2,26,3,3,6,15,5
