user_id,gameid,0
1,1,1
1,2,9
1,3,8
1,4,6
1,5,6
1,6,2
1,7,3
1,8,1
1,9,4
1,10,4
1,11,3
1,12,5
1,13,6
1,14,6
1,15,6
1,16,3
1,17,6
1,18,5
1,19,1
1,20,5
2,1,10
2,2,2
2,3,2
2,4,5
2,5,3
2,6,4
2,7,1
2,8,6
2,9,5
2,10,2
2,11,3
2,12,4
2,13,2
2,14,4
2,15,8
2,16,3
2,17,2
2,18,6
2,19,11
2,20,7
3,1,3
3,2,7
3,3,4
3,4,6
3,5,3
3,6,2
3,7,5
3,8,6
3,9,5
3,10,4
3,11,5
3,12,5
3,13,3
3,14,5
3,15,7
3,16,3
3,17,4
3,18,4
3,19,6
3,20,3
4,1,1
4,2,4
4,3,9
4,4,3
4,5,2
4,6,7
4,7,4
4,8,2
4,9,3
4,10,1
4,11,7
4,12,2
4,13,5
4,14,8
4,15,5
4,16,6
4,17,1
4,18,7
4,19,4
4,20,9
5,1,7
5,2,5
5,3,5
5,4,6
5,5,6
5,6,6
5,7,4
5,8,5
5,9,1
5,10,4
5,11,7
5,12,5
5,13,3
5,14,3
5,15,2
5,16,4
5,17,3
5,18,9
5,19,3
5,20,2
6,1,4
6,2,2
6,3,7
6,4,6
6,5,6
6,6,6
6,7,2
6,8,5
6,9,4
6,10,5
6,11,3
6,12,6
6,13,1
6,14,5
6,15,8
6,16,2
6,17,5
6,18,5
6,19,4
6,20,4
7,1,3
7,2,4
7,3,9
7,4,4
7,5,3
7,6,1
7,7,6
7,8,6
7,9,2
7,10,2
7,11,3
7,12,3
7,13,5
7,14,6
7,15,4
7,16,7
7,17,6
7,18,5
7,19,5
7,20,6
8,1,3
8,2,3
8,3,3
8,4,8
8,5,11
8,6,1
8,7,3
8,9,1
8,10,5
8,11,3
8,12,2
8,13,4
8,14,6
8,15,6
8,16,7
8,17,4
8,18,7
8,19,4
8,20,9
9,1,3
9,2,4
9,3,8
9,4,4
9,5,2
9,6,7
9,7,3
9,8,4
9,9,6
9,10,2
9,11,5
9,12,4
9,13,10
9,14,3
9,15,1
9,16,6
9,17,4
9,18,4
9,19,7
9,20,3
10,1,5
10,2,9
10,3,5
10,4,2
10,5,8
10,6,3
10,7,4
10,8,9
10,9,5
10,10,4
10,11,3
10,12,3
10,13,4
10,14,1
10,15,2
10,16,7
10,17,3
10,18,2
10,19,1
10,20,10
11,1,7
11,2,2
11,3,8
11,4,2
11,5,6
11,6,2
11,7,7
11,8,2
11,9,4
11,10,4
11,11,2
11,12,5
11,13,8
11,14,5
11,15,3
11,16,4
11,17,7
11,18,4
11,19,4
11,20,4
12,1,5
12,2,2
12,3,7
12,4,2
12,5,2
12,6,6
12,7,4
12,8,7
12,9,3
12,10,2
12,11,3
12,12,4
12,13,3
12,14,4
12,15,8
12,16,9
12,17,5
12,18,6
12,19,5
12,20,3
13,1,3
13,2,4
13,3,8
13,4,3
13,5,5
13,6,4
13,7,2
13,8,5
13,9,8
13,10,2
13,11,4
13,12,3
13,13,4
13,14,5
13,15,5
13,16,6
13,17,3
13,18,5
13,19,7
13,20,4
14,1,8
14,2,5
14,3,6
14,4,4
14,5,4
14,6,3
14,7,5
14,8,7
14,9,6
14,10,5
14,11,5
14,12,5
14,13,3
14,14,4
14,15,3
14,16,4
14,17,5
14,18,1
14,19,3
14,20,4
15,1,6
15,2,4
15,3,3
15,4,4
15,5,7
15,6,4
15,7,9
15,8,3
15,9,1
15,10,3
15,11,5
15,12,2
15,13,8
15,14,3
15,15,2
15,16,4
15,17,6
15,18,2
15,19,5
15,20,9
16,1,2
16,2,4
16,3,4
16,4,2
16,5,7
16,6,6
16,7,8
16,8,1
16,9,4
16,10,5
16,11,8
16,12,5
16,13,3
16,14,4
16,15,3
16,16,9
16,17,2
16,18,1
16,19,8
